column 1,address_1,case_number,city,clearance_type,country,created_at,day_of_week,hour_of_day,incident_datetime,incident_description,incident_id,incident_type_primary,latitude,location,longitude,parent_incident_type,state,updated_at,zip
733,700 Block N 300 E,16-L4074,LOGAN,,,03/16/2016 06:41:45 AM,Monday,15,03/14/2016 03:00:00 PM,Fraud,752850592,[LCPD] FRAUD,41.7464,"{'type': 'Point', 'coordinates': [-111.827, 41.7464]}",-111.827,Theft,UT,07/18/2016 09:13:57 AM,
2322,HYDRO PARK,18L1757,LOGAN,,,02/01/2018 07:57:26 AM,Wednesday,23,01/31/2018 11:39:31 PM,C/S Drugs,833047204,[LCPD] C/S DRUGS,41.7438,"{'type': 'Point', 'coordinates': [-111.784, 41.7438]}",-111.784,Drugs,UT,03/03/2018 06:30:57 AM,
2439,800 Block N 600 E,18L8677,LOGAN,,,05/25/2018 06:17:42 AM,Thursday,11,05/24/2018 11:20:00 AM,Theft,855507115,[LCPD] THEFT,41.7478,"{'type': 'Point', 'coordinates': [-111.819, 41.7478]}",-111.819,Theft,UT,09/13/2018 03:01:48 AM,
3020,200 Block N 100 W,16-L19429,LOGAN,,,11/08/2016 08:08:15 AM,Monday,15,11/07/2016 03:37:29 PM,Fraud,780643452,[LCPD] FRAUD,41.737,"{'type': 'Point', 'coordinates': [-111.837, 41.737]}",-111.837,Theft,UT,01/17/2017 10:08:38 AM,
3137,1 Block E 1000 N,18L2785,LOGAN,,,02/19/2018 07:08:39 AM,Sunday,1,02/18/2018 01:01:57 AM,DUI,834562395,[LCPD] DUI,41.7501,"{'type': 'Point', 'coordinates': [-111.833, 41.7501]}",-111.833,Traffic,UT,03/21/2018 09:50:41 AM,
3717,400 Block W 925 N,14-L12745,LOGAN,,,08/05/2014 09:10:13 AM,Monday,14,08/04/2014 02:57:08 PM,Theft,514816024,[LCPD] THEFT,41.7487,"{'type': 'Point', 'coordinates': [-111.845, 41.7487]}",-111.845,Theft,UT,01/30/2015 11:07:13 AM,
3950,1100 Block S 100 W,14-L16176,LOGAN,,,09/26/2014 09:10:11 AM,Thursday,13,09/25/2014 01:39:26 PM,Fraud,564282493,[LCPD] FRAUD,41.7122,"{'type': 'Point', 'coordinates': [-111.839, 41.7122]}",-111.839,Theft,UT,01/07/2015 04:32:13 PM,
4816,400 Block N 710 W,18L13049,LOGAN,,,07/31/2018 06:56:56 AM,Monday,14,07/30/2018 02:53:51 PM,Fraud,865311332,[LCPD] FRAUD,41.7396,"{'type': 'Point', 'coordinates': [-111.852, 41.7396]}",-111.852,Theft,UT,01/27/2019 06:24:50 AM,
0,200 Block N 200 W,16-L16727,LOGAN,,,09/27/2016 07:07:33 AM,Monday,10,09/26/2016 10:15:24 AM,"Assist,Agency",774054294,"[LCPD] ASSIST,AGENCY",41.7367,"{'type': 'Point', 'coordinates': [-111.84, 41.7367]}",-111.84,Community Policing,UT,10/26/2016 09:10:47 AM,
1,500 Block W 1800 N,17-L17044,LOGAN,,,02/27/2018 09:19:31 PM,Thursday,21,09/14/2017 09:33:49 PM,"Assist,Citizen",835388678,"[LCPD] ASSIST,CITIZEN",41.7652,"{'type': 'Point', 'coordinates': [-111.847, 41.7652]}",-111.847,Community Policing,UT,03/07/2018 06:55:22 AM,
2,,14-L9284,Logan,,,06/13/2014 09:09:24 AM,,0,,Animal Problem,464048019,[LCPD] ANIMAL PROBLEM,0.0,,0.0,Community Policing,UT,09/19/2014 09:10:28 AM,
3,1600 Block S 1240 W,15-L20805,LOGAN,,,12/04/2015 07:51:01 AM,Wednesday,16,07/22/2015 04:29:10 PM,"Assist,Citizen",739190383,"[LCPD] ASSIST,CITIZEN",41.7026,"{'type': 'Point', 'coordinates': [-111.866, 41.7026]}",-111.866,Community Policing,UT,05/16/2016 09:10:03 AM,
4,1300 Block N MAIN ST,15-L19699,LOGAN,,,11/15/2015 07:54:03 AM,Saturday,13,11/14/2015 01:39:43 PM,"Accident,PD",737275633,"[LCPD] ACCIDENT,PD",41.7575,"{'type': 'Point', 'coordinates': [-111.834, 41.7575]}",-111.834,Traffic,UT,05/12/2016 09:10:41 AM,
5,1100 Block S 100 W,15-L19707,LOGAN,,,11/15/2015 07:54:03 AM,Saturday,15,11/14/2015 03:01:35 PM,Fraud,737275641,[LCPD] FRAUD,41.7122,"{'type': 'Point', 'coordinates': [-111.839, 41.7122]}",-111.839,Theft,UT,05/12/2016 09:10:41 AM,
6,300 Block W 400 N,15-L19715,LOGAN,,,11/15/2015 07:54:03 AM,Saturday,18,11/14/2015 06:07:26 PM,Animal Problem,737275649,[LCPD] ANIMAL PROBLEM,41.7392,"{'type': 'Point', 'coordinates': [-111.844, 41.7392]}",-111.844,Community Policing,UT,05/12/2016 09:10:41 AM,
7,200 Block W 500 N,15-L21307,LOGAN,,,12/13/2015 07:49:39 AM,Saturday,12,12/12/2015 12:58:34 PM,Animal Problem,739982965,[LCPD] ANIMAL PROBLEM,41.741,"{'type': 'Point', 'coordinates': [-111.842, 41.741]}",-111.842,Community Policing,UT,03/26/2016 09:10:35 AM,
8,1 Block N 500 E,16-L126,LOGAN,,,01/05/2016 07:46:06 AM,Monday,13,01/04/2016 01:08:19 PM,"Assist,Citizen",742980396,"[LCPD] ASSIST,CITIZEN",41.7326,"{'type': 'Point', 'coordinates': [-111.822, 41.7326]}",-111.822,Community Policing,UT,06/17/2016 09:43:13 AM,
9,1100 Block N 230 W,16-L127,LOGAN,,,01/05/2016 07:46:06 AM,Monday,13,01/04/2016 01:15:22 PM,"Assist,Citizen",742980397,"[LCPD] ASSIST,CITIZEN",41.7535,"{'type': 'Point', 'coordinates': [-111.84, 41.7535]}",-111.84,Community Policing,UT,06/17/2016 09:43:13 AM,
10,200 Block W 600 N,16-L129,LOGAN,,,01/05/2016 07:46:06 AM,Monday,13,01/04/2016 01:59:01 PM,"Assist,Agency",742980398,"[LCPD] ASSIST,AGENCY",41.7429,"{'type': 'Point', 'coordinates': [-111.841, 41.7429]}",-111.841,Community Policing,UT,04/21/2016 09:09:58 AM,
11,500 Block N 200 E,16-L131,LOGAN,,,01/05/2016 07:46:06 AM,Monday,14,01/04/2016 02:47:13 PM,Traffic Offense,742980400,[LCPD] TRAFFIC OFFENSE,41.7409,"{'type': 'Point', 'coordinates': [-111.83, 41.7409]}",-111.83,Traffic,UT,04/21/2016 09:09:58 AM,
12,400 Block S MAIN ST,16-L193,LOGAN,,,01/06/2016 07:46:03 AM,Tuesday,14,01/05/2016 02:07:27 PM,Animal Trap,743056284,[LCPD] ANIMAL TRAP,41.7223,"{'type': 'Point', 'coordinates': [-111.835, 41.7223]}",-111.835,Community Policing,UT,07/03/2016 09:10:22 AM,
13,1500 Block SUMAC DR,16-L1498,LOGAN,,,01/30/2016 07:42:27 AM,Friday,14,01/29/2016 02:52:03 PM,"Assist,Citizen",748326593,"[LCPD] ASSIST,CITIZEN",41.7397,"{'type': 'Point', 'coordinates': [-111.799, 41.7397]}",-111.799,Community Policing,UT,07/27/2016 09:15:16 AM,
14,1700 Block MOUNTAIN RD,16-L4294,LOGAN,,,03/20/2016 06:42:12 AM,Saturday,0,03/19/2016 12:11:22 AM,C/S Drugs,753256588,[LCPD] C/S DRUGS,41.7311,"{'type': 'Point', 'coordinates': [-111.791, 41.7311]}",-111.791,Drugs,UT,06/27/2016 09:10:00 AM,
15,500 Block W 300 S,16-L6691,LOGAN,,,04/27/2016 06:47:30 AM,Tuesday,19,04/26/2016 07:36:37 PM,Theft,758041390,[LCPD] THEFT,41.7262,"{'type': 'Point', 'coordinates': [-111.85, 41.7262]}",-111.85,Theft,UT,09/01/2016 09:08:17 AM,
16,600 Block N 800 E,16-L8080,LOGAN,,,05/20/2016 06:51:10 AM,Wednesday,18,05/18/2016 06:00:00 PM,Commun Policing,760011344,[LCPD] COMMUN POLICING,41.7439,"{'type': 'Point', 'coordinates': [-111.814, 41.7439]}",-111.814,Community Policing,UT,06/18/2016 09:40:51 AM,
17,1 Block W 300 N,16-L16742,LOGAN,,,09/27/2016 07:07:33 AM,Monday,12,09/26/2016 12:48:12 PM,VIN Inspection,774054308,[LCPD] VIN INSPECTION,41.7372,"{'type': 'Point', 'coordinates': [-111.837, 41.7372]}",-111.837,Traffic,UT,11/04/2016 06:31:44 PM,
18,600 Block W 1400 N,15-L20163,LOGAN,,,11/23/2015 07:52:40 AM,Sunday,13,11/22/2015 01:42:52 PM,"Accident,PD",738375843,"[LCPD] ACCIDENT,PD",41.7579,"{'type': 'Point', 'coordinates': [-111.849, 41.7579]}",-111.849,Traffic,UT,05/16/2016 09:09:57 AM,
19,1000 Block RSI DR,15-L20166,LOGAN,,,11/23/2015 07:52:40 AM,Sunday,14,11/22/2015 02:33:23 PM,"Alarm,Intru",738375846,"[LCPD] ALARM,INTRU",41.7578,"{'type': 'Point', 'coordinates': [-111.86, 41.7578]}",-111.86,Alarm,UT,05/16/2016 09:09:58 AM,
20,600 Block S 500 W,16-L41,LOGAN,,,01/03/2016 07:46:22 AM,Saturday,9,01/02/2016 09:26:05 AM,Welfare Check,742795492,[LCPD] WELFARE CHECK,41.7204,"{'type': 'Point', 'coordinates': [-111.849, 41.7204]}",-111.849,Community Policing,UT,04/19/2016 09:10:36 AM,
21,5500 Block W SR 30,16-L132,CACHE COUNTY,,,01/05/2016 07:46:06 AM,Monday,14,01/04/2016 02:51:44 PM,"Assist,Agency",742980401,"[LCPD] ASSIST,AGENCY",41.748,"{'type': 'Point', 'coordinates': [-111.967, 41.748]}",-111.967,Community Policing,UT,04/21/2016 09:09:59 AM,
22,700 Block S MAIN ST,15-L20550,LOGAN,,,11/30/2015 07:51:43 AM,Sunday,15,11/29/2015 03:34:35 PM,Harassment,738890757,[LCPD] HARASSMENT,41.7179,"{'type': 'Point', 'coordinates': [-111.835, 41.7179]}",-111.835,Disorder,UT,05/16/2016 09:10:00 AM,
23,1 Block W 300 N,16-L189,LOGAN,,,01/06/2016 07:46:03 AM,Tuesday,13,01/05/2016 01:10:29 PM,"Assist,Citizen",743056280,"[LCPD] ASSIST,CITIZEN",41.7372,"{'type': 'Point', 'coordinates': [-111.837, 41.7372]}",-111.837,Community Policing,UT,04/21/2016 09:10:19 AM,
24,1300 Block QUAIL WAY,16-L199,LOGAN,,,01/06/2016 07:46:03 AM,Tuesday,14,01/05/2016 02:33:18 PM,Susp Vehicle,743056290,[LCPD] SUSP VEHICLE,41.7364,"{'type': 'Point', 'coordinates': [-111.8, 41.7364]}",-111.8,Vehicle Stop,UT,04/21/2016 09:10:20 AM,
25,300 Block N 400 E,16-L206,LOGAN,,,01/06/2016 07:46:03 AM,Tuesday,15,01/05/2016 03:43:48 PM,Keep the Peace,743056297,[LCPD] KEEP THE PEACE,41.7379,"{'type': 'Point', 'coordinates': [-111.824, 41.7379]}",-111.824,Community Policing,UT,04/21/2016 09:10:21 AM,
26,800 Block E 1400 N,15-L20692,LOGAN,,,12/02/2015 07:51:28 AM,Tuesday,19,12/01/2015 07:34:38 PM,"Accident,PD",739047496,"[LCPD] ACCIDENT,PD",41.7573,"{'type': 'Point', 'coordinates': [-111.814, 41.7573]}",-111.814,Traffic,UT,05/16/2016 09:10:03 AM,
27,200 Block N MAIN ST,15-L16967,LOGAN,,,10/03/2015 09:09:36 AM,Tuesday,12,08/18/2015 12:00:00 PM,Fraud,732743261,[LCPD] FRAUD,41.7368,"{'type': 'Point', 'coordinates': [-111.835, 41.7368]}",-111.835,Theft,UT,02/11/2016 10:10:50 AM,
28,1600 Block N 200 E,16-L255,NORTH LOGAN,,,01/07/2016 07:45:58 AM,Wednesday,13,01/06/2016 01:11:02 PM,"Assist,Agency",743160060,"[LCPD] ASSIST,AGENCY",41.7614,"{'type': 'Point', 'coordinates': [-111.829, 41.7614]}",-111.829,Community Policing,UT,06/17/2016 09:43:31 AM,
29,1 Block W 100 N,16-L1111,LOGAN,,,01/23/2016 07:43:34 AM,Friday,17,01/22/2016 05:36:50 PM,Animal Problem,746649794,[LCPD] ANIMAL PROBLEM,41.7333,"{'type': 'Point', 'coordinates': [-111.837, 41.7333]}",-111.837,Community Policing,UT,07/18/2016 09:13:18 AM,
30,700 Block S 200 W,16-L2781,LOGAN,,,02/22/2016 07:39:12 AM,Sunday,5,02/21/2016 05:36:47 AM,"Assist,Agency",750529399,"[LCPD] ASSIST,AGENCY",41.7187,"{'type': 'Point', 'coordinates': [-111.841, 41.7187]}",-111.841,Community Policing,UT,06/10/2016 09:09:55 AM,
31,900 Block N 400 W,15-L19869,LOGAN,,,11/18/2015 07:53:35 AM,Tuesday,15,11/17/2015 03:14:23 PM,"Assist,Citizen",737757137,"[LCPD] ASSIST,CITIZEN",41.7494,"{'type': 'Point', 'coordinates': [-111.845, 41.7494]}",-111.845,Community Policing,UT,02/11/2016 10:10:56 AM,
32,200 Block S 400 E,16-L1750,LOGAN,,,02/03/2016 07:42:12 AM,Friday,0,11/20/2015 12:00:01 AM,Theft,748870671,[LCPD] THEFT,41.7273,"{'type': 'Point', 'coordinates': [-111.825, 41.7273]}",-111.825,Theft,UT,03/03/2016 10:09:59 AM,
33,600 Block E 1280 N,16-L1211,LOGAN,,,01/25/2016 07:43:13 AM,Sunday,17,01/24/2016 05:17:51 PM,Unattend/Death,746826470,[LCPD] UNATTEND/DEATH,41.7551,"{'type': 'Point', 'coordinates': [-111.818, 41.7551]}",-111.818,Death,UT,07/17/2016 09:09:06 AM,
34,1300 Block N MAIN ST,16-L1591,LOGAN,,,01/31/2016 07:42:18 AM,Saturday,19,01/30/2016 07:57:51 PM,"Accident,PD",748392029,"[LCPD] ACCIDENT,PD",41.7568,"{'type': 'Point', 'coordinates': [-111.834, 41.7568]}",-111.834,Traffic,UT,07/18/2016 09:13:24 AM,
35,600 Block W CENTER ST,16-L4458,LOGAN,,,03/23/2016 06:42:37 AM,Tuesday,3,03/22/2016 03:16:41 AM,Susp Incident,753646100,[LCPD] SUSP INCIDENT,41.7316,"{'type': 'Point', 'coordinates': [-111.85, 41.7316]}",-111.85,Community Policing,UT,04/21/2016 09:10:09 AM,
36,300 Block N 300 E,16-L4461,LOGAN,,,03/23/2016 06:42:37 AM,Tuesday,6,03/22/2016 06:32:38 AM,Susp Vehicle,753646103,[LCPD] SUSP VEHICLE,41.738,"{'type': 'Point', 'coordinates': [-111.827, 41.738]}",-111.827,Vehicle Stop,UT,04/21/2016 09:10:11 AM,
37,800 Block S MAIN ST,15-L21014,LOGAN,,,12/08/2015 07:50:23 AM,Monday,18,12/07/2015 06:51:48 PM,"Accident,PD",739575367,"[LCPD] ACCIDENT,PD",41.7175,"{'type': 'Point', 'coordinates': [-111.835, 41.7175]}",-111.835,Traffic,UT,05/16/2016 09:10:09 AM,
38,1 Block S 500 E,15-L21419,LOGAN,,,12/15/2015 07:49:28 AM,Monday,13,12/14/2015 01:58:42 PM,Pornography,740329877,[LCPD] PORNOGRAPHY,41.7295,"{'type': 'Point', 'coordinates': [-111.822, 41.7295]}",-111.822,Other Sexual Offense,UT,02/11/2016 10:11:01 AM,
39,800 Block N MAIN ST,16-L4496,LOGAN,,,03/23/2016 06:42:37 AM,Tuesday,15,03/22/2016 03:27:25 PM,"Accident,PD",753646134,"[LCPD] ACCIDENT,PD",41.7464,"{'type': 'Point', 'coordinates': [-111.835, 41.7464]}",-111.835,Traffic,UT,04/21/2016 09:10:18 AM,
40,600 Block S 100 E,16-L194,LOGAN,,,01/06/2016 07:46:03 AM,Tuesday,14,01/05/2016 02:09:57 PM,Fraud,743056285,[LCPD] FRAUD,41.7203,"{'type': 'Point', 'coordinates': [-111.832, 41.7203]}",-111.832,Theft,UT,02/11/2016 10:11:11 AM,
41,300 Block S 600 W,16-L5023,LOGAN,,,04/01/2016 06:44:00 AM,Thursday,11,03/31/2016 11:51:41 AM,"Dispute,Family",755431125,"[LCPD] DISPUTE,FAMILY",41.7253,"{'type': 'Point', 'coordinates': [-111.851, 41.7253]}",-111.851,Family Offense,UT,07/13/2016 09:13:01 AM,
42,500 Block E 800 N,16-L10806,LOGAN,,,07/01/2016 06:57:34 AM,Friday,0,04/01/2016 12:00:00 AM,Theft,763738209,[LCPD] THEFT,41.7465,"{'type': 'Point', 'coordinates': [-111.82, 41.7465]}",-111.82,Theft,UT,07/30/2016 10:24:06 AM,
43,1100 Block S 100 W,16-L5178,LOGAN,,,04/03/2016 06:43:39 AM,Saturday,17,04/02/2016 05:09:49 PM,Disorderly,755578613,[LCPD] DISORDERLY,41.7122,"{'type': 'Point', 'coordinates': [-111.839, 41.7122]}",-111.839,Disorder,UT,07/13/2016 09:13:01 AM,
44,1200 Block SOUTHVIEW CIR,16-L6392,LOGAN,,,04/23/2016 06:47:00 AM,Friday,8,04/22/2016 08:44:10 AM,Theft,757683645,[LCPD] THEFT,41.6963,"{'type': 'Point', 'coordinates': [-111.865, 41.6963]}",-111.865,Theft,UT,07/13/2016 09:13:13 AM,
45,1900 Block S US 89 & 91,16-L8555,LOGAN,,,05/27/2016 06:52:09 AM,Thursday,18,05/26/2016 06:40:19 PM,DUI,760612400,[LCPD] DUI,41.6975,"{'type': 'Point', 'coordinates': [-111.86, 41.6975]}",-111.86,Traffic,UT,07/13/2016 09:13:39 AM,
46,700 Block RIVERWALK PKWY,16-L9067,LOGAN,,,06/04/2016 06:53:22 AM,Thursday,23,06/02/2016 11:00:00 PM,Crim Mischief,761302546,[LCPD] CRIM MISCHIEF,41.7181,"{'type': 'Point', 'coordinates': [-111.839, 41.7181]}",-111.839,Property Crime,UT,07/13/2016 09:13:40 AM,
47,1400 Block N MAIN ST,16-L9277,LOGAN,,,06/07/2016 06:53:39 AM,Monday,21,06/06/2016 09:46:47 PM,"Alarm,Intru",761559693,"[LCPD] ALARM,INTRU",41.7582,"{'type': 'Point', 'coordinates': [-111.834, 41.7582]}",-111.834,Alarm,UT,07/13/2016 09:13:40 AM,
48,200 Block N 600 W,16-L10487,LOGAN,,,06/26/2016 06:57:18 AM,Saturday,1,06/25/2016 01:28:04 AM,C/S Drugs,763289382,[LCPD] C/S DRUGS,41.7355,"{'type': 'Point', 'coordinates': [-111.85, 41.7355]}",-111.85,Drugs,UT,07/25/2016 09:08:29 AM,
49,1000 Block S 1000 W,17-L18940,LOGAN,,,02/23/2018 08:31:28 PM,Sunday,15,10/15/2017 03:33:09 PM,Animal Problem,834979422,[LCPD] ANIMAL PROBLEM,41.7116,"{'type': 'Point', 'coordinates': [-111.86, 41.7116]}",-111.86,Community Policing,UT,03/03/2018 06:30:51 AM,
50,1400 Block W 200 N,16-L554,LOGAN,,,01/13/2016 07:53:10 AM,Tuesday,8,01/12/2016 08:53:08 AM,Animal Problem,744471613,[LCPD] ANIMAL PROBLEM,41.7358,"{'type': 'Point', 'coordinates': [-111.871, 41.7358]}",-111.871,Community Policing,UT,02/11/2016 10:11:16 AM,
51,1 Block W 300 N,16-L556,LOGAN,,,01/13/2016 07:53:10 AM,Tuesday,10,01/12/2016 10:06:14 AM,VIN Inspection,744471615,[LCPD] VIN INSPECTION,41.7372,"{'type': 'Point', 'coordinates': [-111.837, 41.7372]}",-111.837,Traffic,UT,02/11/2016 10:11:16 AM,
52,700 Block N 600 W,16-L9484,LOGAN,,,06/10/2016 06:54:06 AM,Wednesday,1,06/08/2016 01:00:00 AM,Theft,761806422,[LCPD] THEFT,41.7451,"{'type': 'Point', 'coordinates': [-111.849, 41.7451]}",-111.849,Theft,UT,07/15/2016 09:09:30 AM,
53,800 Block PARK AVE,16-L9687,LOGAN,,,06/14/2016 06:54:55 AM,Monday,7,06/13/2016 07:46:02 AM,Animal Problem,762170771,[LCPD] ANIMAL PROBLEM,41.7168,"{'type': 'Point', 'coordinates': [-111.853, 41.7168]}",-111.853,Community Policing,UT,07/13/2016 09:13:43 AM,
54,800 Block MAJESTIC DR,16-L9688,LOGAN,,,06/14/2016 06:54:55 AM,Monday,8,06/13/2016 08:10:22 AM,Animal Problem,762170772,[LCPD] ANIMAL PROBLEM,41.7167,"{'type': 'Point', 'coordinates': [-111.858, 41.7167]}",-111.858,Community Policing,UT,07/13/2016 09:13:43 AM,
55,1100 Block N 230 W,16-L9690,LOGAN,,,06/14/2016 06:54:55 AM,Monday,8,06/13/2016 08:26:45 AM,Animal Problem,762170773,[LCPD] ANIMAL PROBLEM,41.753,"{'type': 'Point', 'coordinates': [-111.84, 41.753]}",-111.84,Community Policing,UT,07/13/2016 09:13:43 AM,
56,500 Block S 500 W,16-L9691,LOGAN,,,06/14/2016 06:54:55 AM,Monday,8,06/13/2016 08:40:46 AM,"Alarm,Intru",762170774,"[LCPD] ALARM,INTRU",41.7209,"{'type': 'Point', 'coordinates': [-111.849, 41.7209]}",-111.849,Alarm,UT,07/13/2016 09:13:44 AM,
57,1200 Block N 200 E,16-L9692,LOGAN,,,06/14/2016 06:54:55 AM,Monday,9,06/13/2016 09:08:25 AM,Animal Problem,762170761,[LCPD] ANIMAL PROBLEM,41.7537,"{'type': 'Point', 'coordinates': [-111.829, 41.7537]}",-111.829,Community Policing,UT,07/13/2016 09:13:44 AM,
58,600 Block E 700 N,16-L584,LOGAN,,,01/13/2016 07:53:10 AM,Tuesday,17,01/12/2016 05:53:01 PM,Parking Problem,744471642,[LCPD] PARKING PROBLEM,41.7446,"{'type': 'Point', 'coordinates': [-111.817, 41.7446]}",-111.817,Traffic,UT,02/11/2016 10:11:24 AM,
59,2200 Block S US 89 & 91,16-L588,LOGAN,,,01/13/2016 07:53:10 AM,Tuesday,19,01/12/2016 07:04:54 PM,Traffic Hazard,744471646,[LCPD] TRAFFIC HAZARD,41.6928,"{'type': 'Point', 'coordinates': [-111.866, 41.6928]}",-111.866,Traffic,UT,02/11/2016 10:11:24 AM,
60,1100 Block S 100 W,16-L589,LOGAN,,,01/13/2016 07:53:10 AM,Tuesday,19,01/12/2016 07:40:50 PM,Child Neglect,744471647,[LCPD] CHILD NEGLECT,41.7122,"{'type': 'Point', 'coordinates': [-111.839, 41.7122]}",-111.839,Family Offense,UT,02/11/2016 10:11:25 AM,
61,800 Block N 600 E,16-L590,LOGAN,,,01/13/2016 07:53:10 AM,Tuesday,20,01/12/2016 08:08:58 PM,Parking Problem,744471648,[LCPD] PARKING PROBLEM,41.7469,"{'type': 'Point', 'coordinates': [-111.819, 41.7469]}",-111.819,Traffic,UT,02/11/2016 10:11:25 AM,
62,1 Block E 400 N,16-L5138,LOGAN,,,04/02/2016 06:44:00 AM,Friday,21,04/01/2016 09:48:14 PM,Traffic Offense,755510533,[LCPD] TRAFFIC OFFENSE,41.739,"{'type': 'Point', 'coordinates': [-111.833, 41.739]}",-111.833,Traffic,UT,05/01/2016 09:12:26 AM,
63,1100 Block N 360 W,16-L5775,LOGAN,,,04/13/2016 06:46:28 AM,Tuesday,4,04/12/2016 04:57:53 AM,"Assault,Simple",756445359,"[LCPD] ASSAULT,SIMPLE",41.7535,"{'type': 'Point', 'coordinates': [-111.843, 41.7535]}",-111.843,Assault,UT,06/17/2016 10:26:59 AM,
64,200 Block E 400 N,16-L5779,LOGAN,,,04/13/2016 06:46:28 AM,Tuesday,7,04/12/2016 07:47:55 AM,"Assist,Citizen",756445363,"[LCPD] ASSIST,CITIZEN",41.739,"{'type': 'Point', 'coordinates': [-111.829, 41.739]}",-111.829,Community Policing,UT,06/08/2016 09:09:42 AM,
65,1 Block W 300 N,16-L734,LOGAN,,,01/16/2016 07:44:40 AM,Friday,15,01/15/2016 03:29:19 PM,VIN Inspection,745073401,[LCPD] VIN INSPECTION,41.7372,"{'type': 'Point', 'coordinates': [-111.837, 41.7372]}",-111.837,Traffic,UT,02/14/2016 10:15:45 AM,
66,100 Block PIONEER AVE,16-L5838,LOGAN,,,04/13/2016 06:46:28 AM,Tuesday,22,04/12/2016 10:30:48 PM,Noise Problem,756445417,[LCPD] NOISE PROBLEM,41.731,"{'type': 'Point', 'coordinates': [-111.831, 41.731]}",-111.831,Disorder,UT,05/12/2016 09:20:56 AM,
67,600 Block E 100 N,16-L5839,LOGAN,,,04/13/2016 06:46:28 AM,Tuesday,22,04/12/2016 10:45:06 PM,"Assist,Citizen",756445418,"[LCPD] ASSIST,CITIZEN",41.7331,"{'type': 'Point', 'coordinates': [-111.819, 41.7331]}",-111.819,Community Policing,UT,05/12/2016 09:20:56 AM,
68,1700 Block S US 89 & 91,16-L11189,LOGAN,,,07/06/2016 06:58:44 AM,Tuesday,14,07/05/2016 02:41:10 PM,Welfare Check,764187318,[LCPD] WELFARE CHECK,41.7034,"{'type': 'Point', 'coordinates': [-111.852, 41.7034]}",-111.852,Community Policing,UT,08/04/2016 09:12:10 AM,
69,800 Block E 275 N,16-L12678,LOGAN,,,07/28/2016 07:01:33 AM,Wednesday,12,07/27/2016 12:13:04 PM,Animal Problem,766265930,[LCPD] ANIMAL PROBLEM,41.7363,"{'type': 'Point', 'coordinates': [-111.814, 41.7363]}",-111.814,Community Policing,UT,08/26/2016 09:11:45 AM,
70,200 Block N 300 E,16-L12681,LOGAN,,,07/28/2016 07:01:33 AM,Wednesday,12,07/27/2016 12:40:34 PM,Parking Problem,766265933,[LCPD] PARKING PROBLEM,41.7363,"{'type': 'Point', 'coordinates': [-111.827, 41.7363]}",-111.827,Traffic,UT,08/26/2016 09:11:45 AM,
71,1 Block W 500 N,16-L12683,LOGAN,,,07/28/2016 07:01:33 AM,Wednesday,12,07/27/2016 12:59:18 PM,Parking Problem,766265935,[LCPD] PARKING PROBLEM,41.7409,"{'type': 'Point', 'coordinates': [-111.836, 41.7409]}",-111.836,Traffic,UT,08/26/2016 09:11:46 AM,
72,300 Block W 1140 N,16-L12684,LOGAN,,,07/28/2016 07:01:33 AM,Wednesday,13,07/27/2016 01:22:04 PM,"Assist,Citizen",766265936,"[LCPD] ASSIST,CITIZEN",41.7525,"{'type': 'Point', 'coordinates': [-111.843, 41.7525]}",-111.843,Community Policing,UT,08/26/2016 09:11:47 AM,
73,600 Block E 800 N,16-L12686,LOGAN,,,07/28/2016 07:01:33 AM,Wednesday,13,07/27/2016 01:58:31 PM,"Assist,Citizen",766265937,"[LCPD] ASSIST,CITIZEN",41.7464,"{'type': 'Point', 'coordinates': [-111.818, 41.7464]}",-111.818,Community Policing,UT,08/26/2016 09:11:47 AM,
74,200 Block W 1600 N,16-L12689,LOGAN,,,07/28/2016 07:01:33 AM,Wednesday,14,07/27/2016 02:19:33 PM,"Assist,Citizen",766265940,"[LCPD] ASSIST,CITIZEN",41.7614,"{'type': 'Point', 'coordinates': [-111.84, 41.7614]}",-111.84,Community Policing,UT,08/26/2016 09:11:47 AM,
75,1400 Block N MAIN ST,16-L12690,LOGAN,,,07/28/2016 07:01:33 AM,Wednesday,14,07/27/2016 02:23:51 PM,Animal Problem,766265941,[LCPD] ANIMAL PROBLEM,41.7582,"{'type': 'Point', 'coordinates': [-111.834, 41.7582]}",-111.834,Community Policing,UT,08/26/2016 09:11:48 AM,
76,800 Block E 800 N,16-L12692,LOGAN,,,07/28/2016 07:01:33 AM,Wednesday,14,07/27/2016 02:59:44 PM,"Accident,PD",766265943,"[LCPD] ACCIDENT,PD",41.7464,"{'type': 'Point', 'coordinates': [-111.814, 41.7464]}",-111.814,Traffic,UT,08/26/2016 09:11:49 AM,
77,1800 Block N 400 W,16-L4805,LOGAN,,,03/28/2016 06:43:14 AM,Sunday,13,03/27/2016 01:27:47 PM,Noise Problem,754188502,[LCPD] NOISE PROBLEM,41.7652,"{'type': 'Point', 'coordinates': [-111.844, 41.7652]}",-111.844,Disorder,UT,04/26/2016 09:10:03 AM,
